tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.036,0.01465252,-0.08849151,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0004562856265504,Ejercicio 1
0.037,0.01465252,-0.08849151,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0004562856265504,Ejercicio 1
0.038,0.01465252,-0.08849151,-0.0009121528,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0004562856265504,Ejercicio 1
0.039,0.01458292,-0.08849151,-0.0009181636,0,0,0,0,0,0,0,-0.002474397,0.0,-0.0002131761,0,0,0,0.000453051811857,Ejercicio 1
0.04,0.01444427,-0.08854552,-0.0009366421,0,0,0,0,0,0,0,-0.01198319,-0.0001579994,-0.001041704,0,0,0,0.0004531708533018,Ejercicio 1
0.041,0.01437025,-0.0885608,-0.0008906083,0,0,0,0,0,0,0,-0.003298726,-2.203273e-05,-0.0002058712,0,0,0,0.0004531708533018,Ejercicio 1
0.042,0.01437025,-0.0885608,-0.0008906083,0,0,0,0,0,0,0,-5.540731e-06,-3.700745e-08,-3.457932000000001e-07,0,0,0,0.0004569222155519,Ejercicio 1
0.043,0.01437025,-0.0885608,-0.0008906083,0,0,0,0,0,0,0,-9.306543e-09,-6.112933e-11,-5.806897e-10,0,0,0,0.0004567078436915,Ejercicio 1
0.044,0.01430065,-0.0885608,-0.000896503,0,0,0,0,0,0,0,-9.637433e-05,0.0,-8.143245e-06,0,0,0,0.0004567078436915,Ejercicio 1
0.045,0.01409186,-0.0885608,-0.0009140155,0,0,0,0,0,0,0,-0.006875784,0.0,-0.0005724346999999,0,0,0,0.0004529564814414,Ejercicio 1
0.046,0.01409186,-0.0885608,-0.0009140155,0,0,0,0,0,0,0,-1.589579e-05,0.0,-1.323383e-06,0,0,0,0.0004567078436915,Ejercicio 1
0.047,0.01416146,-0.0885608,-0.0009082066,0,0,0,0,0,0,0,0.0008714396,0.0,7.291143e-05,0,0,0,0.0004588453049021,Ejercicio 1
0.048,0.01409186,-0.0885608,-0.0009140155,0,0,0,0,0,0,0,-0.01618633,0.0,-0.001347572,0,0,0,0.0004529564814414,Ejercicio 1
