tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.04,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.041,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,-1.657563e-05,-0.0001056332,0.0009596782,0,0,0,-0.0031184219434988,Ejercicio 1
0.042,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,-3.832038e-08,-2.442081000000001e-07,2.218632e-06,0,0,0,-0.0031142045902841,Ejercicio 1
0.043,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,-8.859099e-11,-5.645727000000001e-10,5.129147e-09,0,0,0,-0.0031099872246971,Ejercicio 1
0.044,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,-2.0480910000000002e-13,-1.3052080000000001e-12,1.185782e-11,0,0,0,-0.0031099872246971,Ejercicio 1
0.045,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.046,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.047,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.048,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.049,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.05,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.051,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.052,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.053,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.054,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.055,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.056,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.057,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.058,0.002529179,-0.08935944,0.02191829,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.059,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,2.358868e-05,0.0001508893,-0.001365713,0,0,0,-0.0031120897807496,Ejercicio 1
0.06,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,1.421937e-07,9.09568e-07,-8.23258e-06,0,0,0,-0.0031123846347818,Ejercicio 1
0.061,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,3.287306e-10,2.102785e-09,-1.9032490000000002e-08,0,0,0,-0.0031123846347818,Ejercicio 1
0.062,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.063,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.064,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.065,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.066,0.002530112,-0.08935349,0.02186428,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0031099872246971,Ejercicio 1
0.067,0.002531044,-0.0893475,0.0218102799999999,0,0,0,0,0,0,0,0.0002209049,0.001418335,-0.01278971,0,0,0,-0.0031035329000536,Ejercicio 1
0.068,0.002531044,-0.0893475,0.0218102799999999,0,0,0,0,0,0,0,7.029169000000001e-07,4.513125e-06,-4.069674e-05,0,0,0,-0.0031002040540884,Ejercicio 1
0.069,0.002531044,-0.0893475,0.0218102799999999,0,0,0,0,0,0,0,1.104835e-08,7.093669e-08,-6.396658e-07,0,0,0,-0.0031005533416121,Ejercicio 1
0.07,0.002531044,-0.0893475,0.0218102799999999,0,0,0,0,0,0,0,4.838773e-11,3.1067670000000004e-10,-2.801501e-09,0,0,0,-0.0030981559315273,Ejercicio 1
0.071,0.002532117,-0.0893953099999999,0.0217482,0,0,0,0,0,0,0,0.00013566,0.0003241804,-0.007854301,0,0,0,-0.0030995991080413,Ejercicio 1
0.072,0.002592399,-0.0893953099999999,0.02174926,0,0,0,0,0,0,0,0.005532484,2.381342e-05,-0.0001938711,0,0,0,-0.0031075058857487,Ejercicio 1
0.073,0.002594451,-0.08943706,0.02163321,0,0,0,0,0,0,0,0.00013653,5.518923e-05,-0.006997385,0,0,0,-0.0030677548557713,Ejercicio 1
0.074,0.002595406,-0.08943099,0.02157922,0,0,0,0,0,0,0,0.0001299106,0.000824955,-0.007344801,0,0,0,-0.0030859654020755,Ejercicio 1
0.075,0.002595406,-0.08943099,0.02157922,0,0,0,0,0,0,0,2.182054e-07,1.385642e-06,-1.233675e-05,0,0,0,-0.0030884480634691,Ejercicio 1
0.076,0.002595406,-0.08943099,0.02157922,0,0,0,0,0,0,0,5.043434e-10,3.203398e-09,-2.852073e-08,0,0,0,-0.0030884480634691,Ejercicio 1
0.077,0.002595548,-0.0894848,0.02157118,0,0,0,0,0,0,0,1.310235e-06,-0.0004966634,-7.409408e-05,0,0,0,-0.0030868121560882,Ejercicio 1
0.078,0.002595548,-0.0894848,0.02157118,0,0,0,0,0,0,0,5.738322e-09,-2.175204e-06,-3.245034e-07,0,0,0,-0.0030894024510046,Ejercicio 1
0.079,0.002595548,-0.0894848,0.02157118,0,0,0,0,0,0,0,7.00272e-12,-2.654494e-09,-3.960054e-10,0,0,0,-0.0030894024510046,Ejercicio 1
0.08,0.002657025,-0.08953253,0.0215102499999999,0,0,0,0,0,0,0,0.0002394031,-0.0001208707,-0.0007387859,0,0,0,-0.0030904434775166,Ejercicio 1
0.081,0.002717405,-0.08953253,0.02151136,0,0,0,0,0,0,0,0.000302497,-1.380307e-06,-2.888215e-06,0,0,0,-0.0031048704030659,Ejercicio 1
0.082,0.002718404,-0.08952642,0.02145737,0,0,0,0,0,0,0,1.9427590000000003e-05,0.0001108952,-0.0009781934,0,0,0,-0.0030571296891557,Ejercicio 1
0.083,0.002718404,-0.08952642,0.02145737,0,0,0,0,0,0,0,2.370832e-08,1.3533020000000002e-07,-1.193731e-06,0,0,0,-0.0030645614487187,Ejercicio 1
0.084,0.002718552,-0.08958025,0.02144938,0,0,0,0,0,0,0,7.063542e-06,-0.002572916,-0.0003816877,0,0,0,-0.0030629255413378,Ejercicio 1
0.085,0.002780129,-0.08962794,0.02138855,0,0,0,0,0,0,0,0.007521729,-0.001794586,-0.001541206,0,0,0,-0.0030703423971135,Ejercicio 1
0.086,0.00278115,-0.08962178,0.02133457,0,0,0,0,0,0,0,0.0002582088,0.001449607,-0.01273329,0,0,0,-0.0030503234604475,Ejercicio 1
0.087,0.00278115,-0.08962178,0.02133457,0,0,0,0,0,0,0,5.969402e-07,3.351275e-06,-2.943746e-05,0,0,0,-0.0030405863515431,Ejercicio 1
0.088,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,1.858337e-05,-0.006656929,-0.0009823182,0,0,0,-0.0030359446589961,Ejercicio 1
0.089,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,8.138832999999999e-08,-2.915491e-05,-4.302193e-06,0,0,0,-0.0030384273203898,Ejercicio 1
0.09,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,6.752538e-10,-2.418952e-07,-3.569484e-08,0,0,0,-0.0030385349539126,Ejercicio 1
0.091,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,4.069069000000001e-12,-1.4581639999999999e-09,-2.150966e-10,0,0,0,-0.0030385349539126,Ejercicio 1
0.092,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,3.3760640000000004e-14,-1.209824e-11,-1.784634e-12,0,0,0,-0.0030385349539126,Ejercicio 1
0.093,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0030385349539126,Ejercicio 1
0.094,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0030385349539126,Ejercicio 1
0.095,0.002781301,-0.08967561,0.0213266199999999,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,-0.0030385349539126,Ejercicio 1
0.096,0.002781451,-0.08972944,0.02131869,0,0,0,0,0,0,0,7.0829040000000005e-06,-0.002545374,-0.000374412,0,0,0,-0.0030359446589961,Ejercicio 1
0.097,0.002782771,-0.08983093,0.0212489199999999,0,0,0,0,0,0,0,4.723001e-05,-0.01334984,-0.002496643,0,0,0,-0.0030359446589961,Ejercicio 1
0.098,0.002845497,-0.08987235,0.02113427,0,0,0,0,0,0,0,0.003145185,-0.003986802,-0.01069566,0,0,0,-0.0030300864968368,Ejercicio 1
0.099,0.002907251,-0.08991995,0.02107365,0,0,0,0,0,0,0,0.00157559,-0.0007140119,-0.0028380519999999,0,0,0,-0.0030300864968368,Ejercicio 1
