tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,H,Etiqueta
22.67,0.00422559896,-0.1547994444,0.0142313225,0.01266735754,-0.1513,-0.0149303196,0,0.0,0.0,0.0,6.64151998e-05,0.000982423118,-0.00448622834,0.0938099694,0,0.0795913472,-0.0015258489924679,Ejercicio 4
22.68,0.00422581434,-0.1548952084,0.01421685644,0.01262038512,-0.1513,-0.01497004564,0,0.0,0.0,0.0,1.922934e-05,-0.0083552132,-0.00129890783,0.0940595788,0,0.0792962232,-0.0015197867132219,Ejercicio 4
22.69,0.00422602794,-0.1549909902,0.01420242776,0.012573297,-0.1513,-0.01500961682,0,0.0,0.0,0.0,3.7616562e-05,-0.01688430748,-0.00254093042,0.0943082092,0,0.0790003516,-0.0014895040605498,Ejercicio 4
22.7,0.00422763884,-0.1550660528,0.01409357008,0.01252607716,-0.1513,-0.0150490456,0,0.0,0.0,0.0,9.7904005e-05,-0.01297038652,-0.00661324112,0.0945559496,0,0.0787036612,-0.0014991478317614,Ejercicio 4
22.71,0.00422785066,-0.1551618346,0.0140792215,0.01247873272,-0.1513,-0.01508832842,0,0.0,0.0,0.0,1.04173877e-05,-0.00402863306,-0.00070367583,0.0948027644,0,0.0784061876,-0.001512493829048,Ejercicio 4
22.72,0.00422988342,-0.1554284786,0.01394194612,0.01243127258,-0.1513,-0.01512745282,0,0.0,0.0,0.0,6.65316118e-05,-0.018673535,-0.0044940906,0.0950486002,0,0.0781079842,-0.0014549470007936,Ejercicio 4
22.73,0.00435067778,-0.1555784792,0.01372646644,0.0123836825,-0.1513,-0.01516643838,0,0.0,0.0,0.0,0.01493198034,-0.01521435064,-0.01647704526,0.095293546,0,0.0778089798,-0.001443666894284,Ejercicio 4
22.74,0.00435254322,-0.1557492524,0.01360384224,0.0123359785,-0.1513,-0.01520526374,0,0.0,0.0,0.0,0.000407500028,-0.0184337868,-0.00589872776,0.095537495,0,0.0775092278,-0.0014118293219896,Ejercicio 4
22.75,0.0044735583,-0.155899075,0.01338877908,0.01228814278,-0.1513,-0.0152439467,0,0.0,0.0,0.0,0.0282343778,-0.00882303102,-0.025674275,0.095780554,0,0.0772086748,-0.0013507371624806,Ejercicio 4
22.76,0.00494954632,-0.1559318626,0.01309937422,0.01224019492,-0.1513,-0.0152824748,0,0.0,0.0,0.0,0.0331674698,-0.01260389876,-0.0188247816,0.0960226162,0,0.0769074276,-0.0012994116483702,Ejercicio 4
