tt_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,H,Etiqueta
7.61,-0.01124210442,-0.1555387496,-0.00738884764,-0.01452363766,-0.1513,-0.01313165452,0,-0.000245644628,0.00042387585,-0.00066553577,1.115109658e-08,-9.65646084e-08,3.04566188e-07,0.0825086248,0,-0.0912547082,0.0011296963916814,Ejercicio 2
7.62,-0.01123872954,-0.1555679594,-0.00729669704,-0.01456481974,-0.1513,-0.01308596192,0,-0.000250616702,0.000428778504,-0.000676702778,0.000229300668,-0.00198285414,0.0062628143,0.0822215286,0,-0.0915134668,0.0011254918070833,Ejercicio 2
7.63,-0.01123872954,-0.1555679594,-0.00729669704,-0.01460585942,-0.1513,-0.01304014116,0,-0.000254782792,0.000426826734,-0.000666214128,3.6041173e-06,-3.11662514e-05,9.84380762e-05,0.0819336314,0,-0.0917713176,0.0011226948952355,Ejercicio 2
7.64,-0.01123872954,-0.1555679594,-0.00729669704,-0.01464675492,-0.1513,-0.01299419046,0,-0.000259157498,0.000426795762,-0.000661778012,2.172579e-08,-1.87871524e-07,5.93389344e-07,0.0816448976,0,-0.0920282784,0.0011226942050892,Ejercicio 2
7.65,-0.01123872954,-0.1555679594,-0.00729669704,-0.01468750624,-0.1513,-0.0129481116,0,-0.000263522236,0.000426795584,-0.000657425734,4.70011136e-10,-4.06437368e-09,1.283725854e-08,0.0813553806,0,-0.0922843136,0.0011226942050641,Ejercicio 2
7.66,-0.01123872954,-0.1555679594,-0.00729669704,-0.01472811338,-0.1513,-0.01290190102,0,-0.000267873268,0.000426795584,-0.00065305975,1.016812006e-11,-8.79277814e-11,2.77718448e-10,0.0810650448,0,-0.0925394766,0.0011226942050641,Ejercicio 2
7.67,-0.01123872954,-0.1555679594,-0.00729669704,-0.01476857456,-0.1513,-0.01285556762,0,-0.000272210594,0.000426795584,-0.000648680772,0.0,0.0,0.0,0.080773908,0,-0.0927936962,0.0011226942050641,Ejercicio 2
7.68,-0.01123872954,-0.1555679594,-0.00729669704,-0.01480888978,-0.1513,-0.01280910606,0,-0.000276534036,0.000426795584,-0.00064428791,0.0,0.0,0.0,0.080481988,0,-0.0930469902,0.0011226942050641,Ejercicio 2
7.69,-0.01123198156,-0.1556262366,-0.00711236558,-0.01484905904,-0.1513,-0.01276251812,0,-0.000282210812,0.000438593068,-0.000677225208,0.00069236571,-0.0059702001,0.0189103462,0.0801892848,0,-0.0932993942,0.0011345198586733,Ejercicio 2
7.7,-0.01123198156,-0.1556262366,-0.00711236558,-0.01488908056,-0.1513,-0.01271580558,0,-0.000285819762,0.000432672432,-0.000654051744,5.74448542e-06,-4.95341248e-05,0.0001568972278,0.0798957628,0,-0.0935508548,0.001108577739204,Ejercicio 2
7.71,-0.01122523002,-0.1556843714,-0.00692798428,-0.01492895434,-0.1513,-0.01266896666,0,-0.000291426228,0.000444070306,-0.000685795018,0.000655204472,-0.00563371958,0.0178953724,0.0796014576,0,-0.0938013898,0.0011176379781065,Ejercicio 2
7.72,-0.01122523002,-0.1556843714,-0.00692798428,-0.01496868216,-0.1513,-0.01262200314,0,-0.000295065794,0.000438667472,-0.000664186352,2.68526528e-05,-0.000230890386,0.000733417672,0.079306387,0,-0.094051017,0.0010943440742647,Ejercicio 2
7.73,-0.01122523002,-0.1556843714,-0.00692798428,-0.01500826224,-0.1513,-0.01257491502,0,-0.000299292938,0.00043843803,-0.000658997118,1.618690704e-07,-1.3918176e-06,4.42107678e-06,0.0790105154,0,-0.0942997008,0.0010943053412622,Ejercicio 2
7.74,-0.01122523002,-0.1556843714,-0.00692798428,-0.0150476928,-0.1513,-0.0125277023,0,-0.000303532364,0.000438436784,-0.00065451935,4.81986976e-09,-4.14432416e-08,1.316434956e-07,0.0787138784,0,-0.094547459,0.001094305339856,Ejercicio 2
7.75,-0.01122523002,-0.1556843714,-0.00692798428,-0.0150869774,-0.1513,-0.01248036498,0,-0.000307758262,0.000438436606,-0.000650032504,1.042720262e-10,-8.96574252e-10,2.8479466e-09,0.0784164404,0,-0.0947942738,0.0010943053398547,Ejercicio 2
7.76,-0.01122523002,-0.1556843714,-0.00692798428,-0.01512611426,-0.1513,-0.01243290128,0,-0.000311970098,0.000438436606,-0.000645531952,2.25579756e-12,-1.93962862e-11,6.16118698e-11,0.078118237,0,-0.0950401808,0.0010943053398547,Ejercicio 2
7.77,-0.01122523002,-0.1556843714,-0.00692798428,-0.01516509982,-0.1513,-0.0123853201,0,-0.000316167694,0.000438436606,-0.000641018762,0.0,0.0,0.0,0.0778192682,0,-0.0952851444,0.0010943053398547,Ejercicio 2
7.78,-0.01122523002,-0.1556843714,-0.00692798428,-0.01520393408,-0.1513,-0.0123376161,0,-0.000320350872,0.000438436606,-0.000636492222,0.0,0.0,0.0,0.077519534,0,-0.0955291468,0.0010943053398547,Ejercicio 2
7.79,-0.01122523002,-0.1556843714,-0.00692798428,-0.0152426206,-0.1513,-0.01228979106,0,-0.000324519988,0.000438436606,-0.000631952866,0.0,0.0,0.0,0.0772190344,0,-0.0957722058,0.0010943053398547,Ejercicio 2
7.8,-0.01122523002,-0.1556843714,-0.00692798428,-0.01528115404,-0.1513,-0.01224184142,0,-0.000328674508,0.000438436606,-0.00062740016,0.0,0.0,0.0,0.0769177694,0,-0.0960143392,0.0010943053398547,Ejercicio 2
7.81,-0.01135129852,-0.1556843714,-0.00692334204,-0.01531953974,-0.1513,-0.0121937743,0,-0.00031436224,0.000438436606,-0.000623515132,-0.0058459739,0.0,0.000216446042,0.076615739,0,-0.0962555114,0.0010954385493904,Ejercicio 2
7.82,-0.01135129852,-0.1556843714,-0.00692334204,-0.01535777236,-0.1513,-0.01214558614,0,-0.00032429909,0.000438436606,-0.000618721414,-3.5239817e-05,0.0,1.30474712e-06,0.0763129788,0,-0.0964957402,0.001093178540308,Ejercicio 2
7.83,-0.0114601028,-0.155829032,-0.00645750358,-0.01539585368,-0.1513,-0.01209727694,0,-0.000318009282,0.000466892576,-0.00070551457,0.000443613558,-0.01399007198,0.0448022262,0.0760094354,0,-0.09673499,0.0012131194476751,Ejercicio 2
7.84,-0.01158597728,-0.155829032,-0.00645276522,-0.0154337837,-0.1513,-0.01204885026,0,-0.000307378944,0.000453319008,-0.00065798056,-0.001696468872,-0.000416573222,0.001398770636,0.0757051622,0,-0.0969733142,0.0010548035096626,Ejercicio 2
7.85,-0.01171185176,-0.155829032,-0.00644797524,-0.01547155886,-0.1513,-0.01200030254,0,-0.000297377658,0.000452904268,-0.000652571318,-0.00319299782,-1.8244377e-06,0.0001280095544,0.0754001236,0,-0.0972106772,0.0010539679900412,Ejercicio 2
7.86,-0.01171185176,-0.155829032,-0.00644797524,-0.01550918628,-0.1513,-0.01195163378,0,-0.000304544116,0.000452902488,-0.00064781676,-9.50758164e-05,-5.43251016e-08,3.8116564e-06,0.0750943374,0,-0.0974470968,0.0010532974832961,Ejercicio 2
7.87,-0.01171185176,-0.155829032,-0.00644797524,-0.01554665706,-0.1513,-0.0119028511,0,-0.000308690804,0.000452902488,-0.00064317007,-2.05684874e-06,-1.17525746e-09,8.24605648e-08,0.0747878214,0,-0.0976825374,0.001053296888555,Ejercicio 2
7.88,-0.01171185176,-0.155829032,-0.00644797524,-0.01558397476,-0.1513,-0.01185394916,0,-0.00031273176,0.000452902488,-0.000638514302,-9.00824536e-09,-5.14719574e-12,3.61147048e-10,0.0744805578,0,-0.097916999,0.0010532968882765,Ejercicio 2
7.89,-0.01171185176,-0.155829032,-0.00644797524,-0.01562113938,-0.1513,-0.01180493152,0,-0.000316756162,0.000452902488,-0.000633846074,-1.94896116e-10,0.0,7.45675286e-12,0.0741725822,0,-0.0981505172,0.0010532968882765,Ejercicio 2
7.9,-0.01171185176,-0.155829032,-0.00644797524,-0.01565814914,-0.1513,-0.01175579818,0,-0.000320765968,0.000452902488,-0.000629165208,-4.2163394e-12,0.0,1.613177688e-13,0.073863859,0,-0.0983830564,0.0010532968882765,Ejercicio 2
7.91,-0.01171185176,-0.155829032,-0.00644797524,-0.01569500404,-0.1513,-0.01170654736,0,-0.000324760822,0.000452902488,-0.000624471882,0.0,0.0,0.0,0.073554406,0,-0.0986146166,0.0010532968882765,Ejercicio 2
7.92,-0.01183772268,-0.155829032,-0.00644313364,-0.01573170408,-0.1513,-0.01165718262,0,-0.00028663162,0.000452902488,-0.00062139177,-0.029522101,0.0,0.001141677404,0.073244241,0,-0.0988452156,0.0011094552607807,Ejercicio 2
7.93,-0.01196359182,-0.155829032,-0.00643824042,-0.01576824926,-0.1513,-0.01160770218,0,-0.00029879881,0.000452902488,-0.00061636238,-0.00873348278,0.0,0.000341337428,0.0729333462,0,-0.0990748356,0.0010559064013013,Ejercicio 2
7.94,-0.01208581552,-0.1558578502,-0.00634103818,-0.01580463958,-0.1513,-0.01155810604,0,-0.000287916958,0.000456775056,-0.0006246376,-0.01134360536,-0.000990905886,0.00362730892,0.0726217216,0,-0.0993034766,0.0010514993253473,Ejercicio 2
7.95,-0.01208581552,-0.1558578502,-0.00634103818,-0.01584087148,-0.1513,-0.01150839598,0,-0.000302858456,0.000455813678,-0.000616375018,-0.000337771198,-2.95055648e-05,0.0001080080148,0.072309385,0,-0.0995311386,0.0010422591850325,Ejercicio 2
7.96,-0.0120785282,-0.155915362,-0.00615648956,-0.01587694852,-0.1513,-0.01145857378,0,-0.000307952104,0.000462406264,-0.000632759918,0.0001064332844,-0.000869523058,0.00279364948,0.0719963364,0,-0.0997578216,0.0010278852539235,Ejercicio 2
7.97,-0.01218954324,-0.1560299762,-0.00578226414,-0.0159128707,-0.1513,-0.01140863766,0,-0.000295780642,0.00048042912,-0.000686867468,-0.00486931104,-0.00743197882,0.0242466616,0.0716825758,0,-0.0999835078,0.0010416060081427,Ejercicio 2
